Im Not Alright,Loud Luxury,https://www.youtube.com/watch?v=TADQbywYNmU,03ef49d6c7af83ba140d2e3bf479555a
SOS,Avicii,https://www.youtube.com/watch?v=u8tdT5pAE34,7fe1a5655636efb2ca805cc486b1ebd8
All This Time,Drax Project,https://www.youtube.com/watch?v=fUFJCA5HRyU,764ad541c4b61ed3bd91e78ea1a9a728
Smart Love,Drax Project,https://www.youtube.com/watch?v=pi01yHkjwWk,d2a9fc189a926d60b5967912c3fe11c9
hot girl bummer,blackbear,https://www.youtube.com/watch?v=yMlKJGKyoCo,97ec8813419a3810c095a80f8f3ed5cd
Higher Love,Kygo,https://www.youtube.com/watch?v=JR49dyo-y0E,e41925d5e24e9a014872545baaf63bfa
Prefer,Drax Project,https://www.youtube.com/watch?v=iyRPJep21ZA,0737712183f50596686e6bc5959f5fa7
Piece Of Your Heart,MEDUZA,https://www.youtube.com/watch?v=KWjV25q34Hw,c4bd9c6200cf294c094df3bc7f42bfb4
Honey Im Good,Andy Grammer,https://www.youtube.com/watch?v=Go7gn6dugu0,18ebcd2260ba9af247c65e81eb74a353
South of the Border feat Camila Cabello  Cardi B,Ed Sheeran,https://www.youtube.com/watch?v=UPOT2tgY9QQ,74001cc7592e642a4876a0ec52d473b7
Plan B feat Ghali,Soprano,https://www.youtube.com/watch?v=JWoPyeSGCfw,f623ec5c1ee7fbffcbcfdd3ae49a2c3f
The Cure,Drave,https://www.youtube.com/watch?v=v5jmn1MKbPo,8b859ebd62f3ee69c9636f9231d51e8e
Sunday Morning,Mitch James,https://www.youtube.com/watch?v=VbMMaMn3-fU,9130644dc62cf0d223f0533450e74ad1
Buttholes,Tom MacDonald,https://www.youtube.com/watch?v=83Ntpeih4f4,87ddae3d80fe937eae8cac613c0cde71
High Hopes,Panic At The Disco,https://www.youtube.com/watch?v=IPXIgEAGe4U,4ca42182601146e850f0740162ffd80a
Illuminate - Sub Focus  Wilkinson,Sub Focus,https://www.youtube.com/watch?v=aYUY0q6dwoY,9e72b9beac98ec756523f10bc9bcc852
Siren,Sub Focus,https://www.youtube.com/watch?v=JhC1tBgQgVA,8344e7ad13186131324ddfe76170b145
Ride It,Regard,https://www.youtube.com/watch?v=ucVUEmjKsko,50a8364a3596ebccd2dcdfeaacda1d30
What A Man Gotta Do,Jonas Brothers,https://www.youtube.com/watch?v=XejVB_fba04,9ba7d2e20165c0525d3f8bde8d5c75f8
me  ur ghost,blackbear,https://www.youtube.com/watch?v=HQM_T-ijA_I,a2090f42128d06377edf860da7f73d9b
Lose Slider,MEDUZA,https://www.youtube.com/watch?v=b7kxtIGaNpw,5308ea583eda9249a3baae65ac523190
Forever Yours - Avicii Tribute,Kygo,https://www.youtube.com/watch?v=Xxqz3bgPTLs,bec6086df9f9f7f851c6df22b4627f51
Heaven,Avicii,https://www.youtube.com/watch?v=fqzhtvLWefA,95c9a63f443222456ba911925087344e
Hold The Line feat A R I Z O N A,Avicii,https://www.youtube.com/watch?v=Y_SR7V5qglc,7701c183a31258191f601e8b9d33736f
Desire with Dimension,Sub Focus,https://www.youtube.com/watch?v=JB0CFw3Godg,7fccf6bf846f57608e6b2f741730c537
Solar System,Sub Focus,https://www.youtube.com/watch?v=hRgcgcTP7nM,74ff7b0115520ca1202b1fbdf4057f5e
