Im Not Alright,Loud Luxury,https://www.youtube.com/watch?v=TADQbywYNmU,Loud Luxury and Bryce Vine - I&#39;m Not Alright [Official HD Audio] - YouTube
SOS,Avicii,https://www.youtube.com/watch?v=u8tdT5pAE34,Avicii - SOS (Fan Memories Video) ft. Aloe Blacc - YouTube
All This Time,Drax Project,https://www.youtube.com/watch?v=fUFJCA5HRyU,Drax Project - All This Time (Lyric Video) - YouTube
Smart Love,Drax Project,https://www.youtube.com/watch?v=pi01yHkjwWk,Drax Project - Smart Love (Official Audio) - YouTube
hot girl bummer,blackbear,https://www.youtube.com/watch?v=yMlKJGKyoCo,blackbear - hot girl bummer [low budget video] - YouTube
Higher Love,Kygo,https://www.youtube.com/watch?v=JR49dyo-y0E,Kygo &amp; Whitney Houston - Higher Love (Official Video) - YouTube
Prefer,Drax Project,https://www.youtube.com/watch?v=iyRPJep21ZA,YouTube
Piece Of Your Heart,MEDUZA,https://www.youtube.com/watch?v=KWjV25q34Hw,"Meduza, Goodboys - Piece Of Your Heart (Visualizer) ft. Goodboys - YouTube"
Honey Im Good,Andy Grammer,https://www.youtube.com/watch?v=Go7gn6dugu0,"Andy Grammer - Honey, I&#39;m Good. (Official Music Video) - YouTube"
South of the Border feat Camila Cabello  Cardi B,Ed Sheeran,https://www.youtube.com/watch?v=UPOT2tgY9QQ,Ed Sheeran - South of the Border (feat. Camila Cabello &amp; Cardi B) [Official Video] - YouTube
Plan B feat Ghali,Soprano,https://www.youtube.com/watch?v=JWoPyeSGCfw,Plan B (feat. Ghali) - YouTube
The Cure,Drave,https://www.youtube.com/watch?v=v5jmn1MKbPo,Drive - Jai Wolf feat. Chain Gang of 1974 - YouTube
Sunday Morning,Mitch James,https://www.youtube.com/watch?v=VbMMaMn3-fU,Mitch James - Sunday Morning (Official Video) - YouTube
Buttholes,Tom MacDonald,https://www.youtube.com/watch?v=83Ntpeih4f4,Tom MacDonald - &quot;Buttholes&quot; - YouTube
High Hopes,Panic At The Disco,https://www.youtube.com/watch?v=IPXIgEAGe4U,Panic! At The Disco - High Hopes (Official Video) - YouTube
Illuminate - Sub Focus  Wilkinson,Sub Focus,https://www.youtube.com/watch?v=aYUY0q6dwoY,Sub Focus &amp; Wilkinson - Illuminate - YouTube
Siren,Sub Focus,https://www.youtube.com/watch?v=JhC1tBgQgVA,Sub Focus - Siren (Visualiser) - YouTube
Ride It,Regard,https://www.youtube.com/watch?v=ucVUEmjKsko,Regard - Ride It (Official Video) - YouTube
What A Man Gotta Do,Jonas Brothers,https://www.youtube.com/watch?v=XejVB_fba04,Jonas Brothers - What A Man Gotta Do (Official Video) - YouTube
me  ur ghost,blackbear,https://www.youtube.com/watch?v=HQM_T-ijA_I,blackbear - me &amp; ur ghost - YouTube
Lose Control,MEDUZA,https://www.youtube.com/watch?v=b7kxtIGaNpw,"Meduza, Becky Hill, Goodboys - Lose Control (Lyric Video) - YouTube"
Forever Yours - Avicii Tribute,Kygo,https://www.youtube.com/watch?v=Xxqz3bgPTLs,YouTube
Heaven,Avicii,https://www.youtube.com/watch?v=fqzhtvLWefA,Avicii - Heaven (Tribute Video) - YouTube
Hold The Line feat A R I Z O N A,Avicii,https://www.youtube.com/watch?v=Y_SR7V5qglc,YouTube
Desire with Dimension,Sub Focus,https://www.youtube.com/watch?v=JB0CFw3Godg,Sub Focus &amp; Dimension - Desire - YouTube
Solar System,Sub Focus,https://www.youtube.com/watch?v=hRgcgcTP7nM,Sub Focus - Solar System - YouTube
